Timestamp,Distance_cm,Speed_kmh,Angle_deg,Magnitude,x_cm,y_cm
1751955510.9173014,120.0,0.58,11.05,6723.0,-22.99986647184656,117.77523569187721
1751955511.141917,120.0,0.25,19.36,5755.0,-39.780306882374326,113.21451843444869
1751955511.381542,118.0,0.15,41.13,5865.0,-77.61682702301624,88.87985240131295
1751955511.604789,110.0,-0.32,29.9,6070.0,-54.83365137292133,95.35864238291632
1751955511.8296585,107.0,-0.7,20.74,7222.0,-37.891676816909445,100.06608230565882
1751955512.0689797,102.0,-0.87,12.43,6819.0,-21.955161575968614,99.60909034908968
1751955512.2926435,92.0,-1.16,13.23,7643.0,-21.05517552264519,89.55824687716147
1751955512.5163314,88.0,-1.16,-1.48,7456.0,2.272864042760834,87.97064333653087
1751955512.7583091,79.0,-1.17,9.39,7619.0,-12.889147863939524,77.94145153473538
1751955512.9806523,71.0,-0.96,-7.27,7329.0,8.984711790909046,70.42921946205496
1751955513.205304,66.0,-0.69,-3.49,7327.0,4.01770586050726,65.8775989211693
1751955513.428984,62.0,-0.34,0.17,6345.0,-0.18395743325011554,61.99972709345383
1751955513.6690898,61.0,-0.19,9.16,5825.0,-9.710711857631287,60.22210620044818
1751955513.8932402,67.0,0.21,10.88,6343.0,-12.646428435967476,65.7956521953689
1751955514.13306,74.0,0.75,14.95,7266.0,-19.090225284535524,71.49519773093631
1751955514.3577912,82.0,1.45,11.97,7375.0,-17.006759447308188,80.21701897416403
1751955514.5812764,89.0,1.59,8.88,7260.0,-13.738530730894132,87.93322906248967
1751955514.8208947,100.0,1.5,15.92,7436.0,-27.429491304314652,96.16456211508752
1751955515.0446377,104.0,1.06,9.85,7141.0,-17.791213945554667,102.46693469770382
1751955515.2692134,112.0,0.66,8.59,5879.0,-16.7286303098363,110.74363606075443
1751955515.4932249,110.0,0.07,-2.75,5922.0,5.277594137347833,109.87332251334458
1751955515.7329578,108.0,-0.11,-7.5,5922.0,14.09682875976557,107.07604502837152
1751955515.9562898,106.0,-0.09,-8.36,5922.0,15.411589168115924,104.87365216923273
1751955516.1809595,104.0,-0.01,-7.67,5922.0,13.880598106487366,103.06953476273277
1751955516.4209743,102.0,0.05,-6.7,5922.0,11.900415184131983,101.30340625292558
1751955520.3085961,105.0,-0.23,10.77,5368.0,-19.621031274771465,103.15044901363464
1751955520.532478,104.0,-0.25,12.43,5368.0,-22.385654940203292,101.56220976769929
1751955520.772285,101.0,-0.33,9.16,5136.0,-16.078391764274752,99.7120119056601
1751955520.996533,97.0,-0.38,4.69,5136.0,-7.931162450411138,96.6752122427729
